pH,EC,Organic Carbon(OC),Available Nitrogen(N),Available Phosphorus(P),Available Potassium(K),Available Sulphur(S),Available Zinc(Zn),Available Boron(B),Available Iron(Fe),Available Manganese(Mn),Available Copper(Cu),Fertility
8.93,0.49,0.91,180.0,5.25,325.0,9.12,0.28,0.12,1.02,0.74,0.23,0.0
8.93,0.49,0.91,180.0,5.25,325.0,9.12,0.28,0.12,1.02,0.74,0.23,0.0
8.93,0.49,0.91,180.0,5.25,325.0,9.12,0.28,0.12,1.02,0.74,0.23,0.0
8.93,0.49,0.91,180.0,5.25,325.0,9.12,0.28,0.12,1.02,0.74,0.23,0.0
8.93,0.49,0.91,180.0,5.25,325.0,9.12,0.28,0.12,1.02,0.74,0.23,0.0
8.93,0.49,0.91,180.0,5.25,325.0,9.12,0.28,0.12,1.02,0.74,0.23,0.0
8.93,0.49,0.91,180.0,5.25,325.0,9.12,0.28,0.12,1.02,0.74,0.23,0.0
8.4,0.67,0.68,112.0,6.28,228.0,8.24,0.44,0.14,0.89,0.82,0.42,0.0
8.22,0.21,1.21,140.0,7.14,249.0,7.29,0.52,0.18,0.64,0.32,0.39,0.0
8.36,0.71,0.71,142.0,8.21,276.0,6.34,0.41,0.09,0.25,0.48,0.56,0.0
8.08,0.56,0.56,163.0,8.26,283.0,5.02,0.35,0.12,0.74,0.63,0.3,0.0
8.42,0.47,0.47,82.04,8.32,209.0,6.18,0.52,0.15,0.86,0.47,0.18,0.0
8.93,0.4,0.4,2.5,8.55,212.0,5.25,0.4,0.12,0.74,0.39,0.52,0.0
8.35,0.89,0.89,114.0,8.25,247.0,4.11,0.35,0.14,0.7,0.42,0.47,0.0
8.38,0.49,0.49,65.02,4.81,375.0,6.8,0.29,0.16,0.62,30.0,0.25,0.0
8.31,0.49,0.33,230.0,4.81,174.0,4.31,0.4,0.12,0.54,0.8,0.18,0.0
8.41,0.33,0.32,163.0,5.25,282.0,4.16,0.44,0.1,0.83,0.52,0.22,0.0
8.4,0.27,0.28,158.0,6.21,198.0,5.25,0.28,0.14,0.74,0.45,0.18,0.0
8.6,0.77,0.32,63.09,4.81,224.0,6.19,0.39,0.18,0.62,0.4,0.44,0.0
8.42,0.49,0.7,134.0,4.77,305.0,5.79,0.54,0.13,0.94,0.61,0.16,0.0
8.45,0.89,0.85,155.0,5.86,274.0,6.3,0.3,0.19,0.79,0.42,0.25,0.0
8.28,0.51,0.44,80.09,4.49,210.0,5.18,0.25,0.22,0.68,0.33,0.27,0.0
8.3,0.55,0.7,138.0,5.82,219.0,6.1,0.32,0.18,0.42,0.28,0.29,0.0
8.39,0.21,0.99,184.0,6.72,279.0,4.51,0.39,0.13,0.65,0.74,0.44,0.0
8.35,0.41,0.49,89.4,5.09,215.0,3.8,0.3,0.09,0.6,0.52,0.58,0.0
8.38,0.67,0.88,162.0,4.4,194.0,4.19,0.47,0.12,0.35,0.21,0.16,0.0
8.21,0.38,0.73,143.0,5.82,229.0,5.28,0.34,0.14,0.47,0.74,0.23,0.0
8.22,0.63,0.76,140.0,4.6,274.0,4.6,0.3,0.09,0.54,0.63,0.2,0.0
8.32,0.78,0.94,179.0,5.42,289.0,5.22,0.32,0.13,0.82,0.69,0.17,0.0
8.24,0.64,0.25,256.0,6.09,395.0,6.09,0.49,0.16,0.91,0.74,0.19,0.0
8.18,0.35,0.91,180.0,4.94,312.0,8.02,0.35,0.34,0.82,0.7,0.18,0.0
8.38,0.98,0.52,202.0,4.16,345.0,6.17,0.24,0.22,0.74,0.62,0.22,0.0
8.3,0.31,0.32,62.11,4.11,274.0,,0.3,0.11,0.67,0.54,0.1,0.0
8.03,0.12,0.58,162.0,5.49,290.0,3.61,0.18,0.09,0.52,0.52,0.32,0.0
8.04,0.95,0.41,80.72,6.25,294.0,4.57,0.2,0.14,0.48,0.31,0.42,0.0
,0.9,0.55,110.0,4.79,241.0,5.84,0.57,0.16,0.7,0.42,0.43,0.0
8.24,0.98,0.49,80.79,5.36,264.0,6.11,0.25,0.18,0.84,0.37,0.18,0.0
8.3,0.29,0.73,142.0,4.28,218.0,7.84,0.61,0.12,0.75,0.38,0.29,0.0
8.33,0.25,0.97,138.0,4.57,259.0,6.36,0.18,0.17,0.89,0.42,0.59,0.0
8.06,0.72,0.88,180.0,7.09,248.0,5.21,0.27,0.29,0.94,0.51,0.49,0.0
8.36,0.74,0.94,162.0,4.49,192.0,4.96,0.11,0.18,1.03,0.34,0.2,0.0
8.14,0.25,0.99,80.19,5.63,215.0,5.22,0.23,0.08,0.76,0.43,0.18,0.0
8.3,0.66,0.58,182.0,4.4,305.0,6.32,0.44,0.12,0.82,0.5,0.12,0.0
8.3,0.21,0.73,160.0,5.17,274.0,5.64,0.36,0.17,89.0,0.53,0.14,0.0
8.59,0.27,0.7,142.0,4.14,225.0,7.11,0.29,0.12,0.73,0.14,0.26,0.0
7.98,0.28,0.41,79.32,5.85,212.0,6.18,0.54,0.14,0.85,0.72,0.18,0.0
8.19,0.5,0.32,58.14,6.17,175.0,5.47,0.17,0.19,0.62,0.18,0.32,0.0
8.24,0.24,0.91,174.0,8.25,313.0,6.36,0.28,0.25,0.44,0.31,0.64,0.0
8.25,0.26,0.94,185.0,9.1,325.0,7.14,0.32,0.14,0.02,0.46,0.72,0.0
8.5,0.21,0.08,240.0,17.12,347.0,6.79,0.73,0.15,0.24,0.54,0.49,0.0
8.2,0.47,0.52,124.0,12.17,294.0,4.59,0.54,0.12,0.75,0.62,0.28,0.0
8.37,0.22,1.11,245.0,11.39,342.0,6.48,0.48,0.09,1.09,0.5,0.2,0.0
8.43,0.34,0.91,182.0,12.25,325.0,7.09,0.52,0.1,1.41,0.78,0.12,0.0
8.27,0.24,0.99,179.0,8.09,357.0,5.34,0.33,0.14,10.57,0.61,0.17,0.0
8.29,0.31,0.32,62.09,5.17,272.0,4.3,0.28,0.19,0.95,0.78,0.39,0.0
8.4,0.2,0.41,80.11,7.17,198.0,4.74,0.39,0.12,0.89,0.72,0.22,0.0
8.5,0.21,0.94,178.0,7.89,305.0,5.95,0.22,0.1,0.71,0.64,0.17,0.0
8.45,0.15,0.18,163.0,4.31,294.0,6.31,0.11,0.07,0.64,0.52,0.25,0.0
8.14,0.47,0.47,110.0,5.29,217.0,8.09,0.47,0.12,0.52,0.39,0.3,0.0
8.18,0.45,0.45,80.09,5.65,211.0,8.25,0.52,0.15,0.6,0.28,0.49,0.0
8.28,1.05,0.91,180.0,3.12,325.0,5.14,0.66,0.18,0.94,0.72,0.18,0.0
8.09,0.42,0.16,32.14,7.14,172.0,3.24,0.44,0.25,0.61,0.52,0.23,0.0
8.19,0.33,0.44,82.35,12.35,198.0,6.49,0.28,0.12,0.19,0.41,0.34,0.0
8.18,0.48,0.97,179.0,13.14,312.0,5.6,0.42,0.07,0.92,0.37,0.56,0.0
8.22,0.28,1.08,242.0,4.49,345.0,6.03,0.63,0.13,1.09,0.55,0.47,0.0
8.16,0.41,0.98,139.0,5.96,298.0,4.19,0.25,0.16,1.18,0.47,0.64,0.0
8.25,0.75,0.76,122.0,6.0,261.0,4.89,0.43,0.19,0.75,0.62,0.76,0.0
8.33,0.86,0.25,141.0,4.74,279.0,5.89,0.49,0.1,0.74,0.47,0.29,0.0
8.09,0.72,0.32,112.0,5.19,175.0,4.97,0.52,0.09,0.86,0.86,0.33,0.0
8.17,0.92,0.85,40.64,6.62,198.0,6.12,0.47,0.12,0.84,0.84,0.43,0.0
8.26,0.88,0.7,163.0,8.07,217.0,4.15,0.64,0.14,0.72,0.72,0.36,0.0
8.32,0.98,0.88,142.0,7.01,279.0,5.67,0.53,0.16,0.61,0.61,0.47,0.0
8.18,0.95,0.91,164.0,6.74,275.0,4.12,0.49,0.13,0.3,0.3,0.28,0.0
8.32,0.98,0.52,182.0,4.09,209.0,5.09,0.38,0.08,0.54,0.45,0.2,0.0
8.4,0.62,0.99,110.0,5.26,209.0,7.35,0.25,0.12,0.59,0.18,0.12,0.0
8.24,0.52,0.94,18.2,5.16,325.0,4.42,0.4,0.18,0.89,0.47,0.12,0.0
8.38,0.68,0.52,173.0,6.36,312.0,5.63,0.32,0.24,0.72,0.46,0.14,0.0
8.22,0.79,0.76,242.0,4.11,357.0,6.31,,0.12,0.64,0.52,0.37,0.0
8.05,0.42,0.55,138.0,7.31,296.0,5.09,0.34,0.17,0.49,0.4,0.34,0.0
8.35,0.23,0.44,109.0,5.46,215.0,6.24,0.29,0.09,63.0,0.24,0.32,0.0
7.99,0.29,0.85,80.56,4.06,237.0,5.31,0.59,0.11,0.72,0.38,0.47,0.0
8.8,0.43,0.85,162.0,3.21,289.0,346.0,0.63,0.14,0.94,0.69,0.64,1.0
7.95,0.61,0.52,159.0,4.98,277.0,4.57,0.31,0.08,0.7,0.54,0.18,0.0
8.21,0.69,0.76,102.0,5.32,236.0,5.29,0.21,0.12,0.54,0.29,0.33,0.0
8.18,0.62,1.08,138.0,6.09,287.0,6.5,0.29,0.17,0.46,0.3,0.47,0.0
8.16,0.72,0.2,239.0,7.89,359.0,4.75,0.12,0.07,0.39,0.21,0.2,0.0
8.2,0.58,0.32,38.14,6.77,180.0,6.5,0.34,0.12,69.0,0.38,0.18,0.0
8.24,0.62,0.85,162.0,5.94,196.0,7.43,0.62,0.19,0.84,0.42,0.29,0.0
8.22,0.79,0.7,138.0,6.63,269.0,6.02,0.54,0.22,0.73,0.31,0.44,0.0
8.38,0.91,0.82,159.0,5.09,296.0,5.84,0.32,0.13,0.69,0.29,0.25,0.0
7.89,0.68,0.94,182.0,8.25,325.0,7.41,0.4,0.12,1.02,0.64,0.82,0.0
8.25,0.55,0.55,110.0,6.17,217.0,5.75,0.47,0.15,0.95,0.39,0.74,0.0
8.32,0.89,0.88,162.0,8.31,279.0,3.86,0.61,0.06,84.0,0.72,0.41,0.0
8.24,0.41,0.7,132.0,6.24,264.0,4.3,0.54,0.1,0.76,0.38,0.28,0.0
8.35,0.39,0.12,256.0,13.24,377.0,5.39,0.32,0.13,0.81,0.47,0.12,0.0
8.25,0.48,0.58,194.0,5.08,292.0,6.09,0.48,0.15,0.64,0.32,34.0,0.0
8.19,0.72,0.41,82.19,6.28,198.0,8.03,0.25,0.31,0.52,0.95,0.46,0.0
8.12,0.62,0.99,183.0,7.14,316.0,7.35,0.74,0.26,0.31,0.62,0.31,0.0
8.38,0.71,0.85,152.0,6.02,305.0,6.81,0.38,0.17,0.86,0.59,0.39,0.0
8.08,0.25,0.49,84.09,5.3,279.0,5.34,0.74,0.09,0.79,0.32,0.52,0.0
8.31,0.32,0.7,133.0,4.77,265.0,6.02,0.49,0.12,0.75,0.36,0.47,0.0
7.99,0.49,0.41,80.89,5.28,199.0,5.21,0.53,0.14,0.93,0.18,0.3,0.0
8.06,0.42,0.91,178.0,6.19,306.0,6.0,0.29,0.18,0.58,0.34,0.28,0.0
8.19,0.38,0.76,152.0,4.25,294.0,5.47,0.61,0.12,0.51,0.52,0.1,0.0
8.3,0.56,0.52,109.0,8.09,279.0,5.03,0.45,0.17,0.57,0.39,0.3,0.0
8.15,0.72,0.41,80.09,7.31,225.0,5.16,0.32,0.12,0.74,0.46,0.32,0.0
8.23,0.66,0.35,69.74,6.68,218.0,7.31,0.09,0.18,0.86,0.52,0.64,0.0
8.2,0.58,0.79,182.0,10.36,394.0,4.56,0.46,0.14,0.92,0.74,0.34,0.0
8.24,0.42,0.82,163.0,9.36,372.0,5.67,0.39,0.21,0.81,0.36,0.69,0.0
8.33,0.69,0.99,182.0,12.25,345.0,6.81,0.46,0.16,0.72,0.43,0.32,0.0
8.41,0.85,0.7,138.0,10.04,299.0,5.53,0.22,0.32,0.69,0.39,0.43,0.0
8.4,0.68,0.08,246.0,14.68,384.0,4.3,0.36,0.09,1.52,0.43,0.28,0.0
8.27,0.52,0.85,112.0,8.25,281.0,5.22,0.31,0.12,1.02,0.58,0.47,0.0
8.28,0.49,0.85,163.0,6.4,320.0,6.09,0.23,0.14,0.86,0.62,0.52,0.0
8.28,0.58,0.76,142.0,7.9,277.0,7.11,0.27,0.08,0.94,0.56,0.36,0.0
8.78,0.79,0.52,109.0,5.94,212.0,5.34,0.37,0.07,0.87,0.49,0.7,0.0
8.32,0.69,1.05,246.0,6.12,389.0,6.12,0.25,0.14,1.09,0.52,0.37,0.0
8.22,0.82,0.97,183.0,7.08,302.0,8.14,0.18,0.12,1.12,0.43,0.22,0.0
8.1,0.51,0.41,82.09,6.47,223.0,3.19,0.46,0.05,0.55,0.28,0.2,0.0
8.26,0.59,0.7,132.0,8.02,309.0,4.82,0.51,0.12,0.73,0.34,0.46,0.0
8.52,0.52,1.23,256.0,14.56,346.0,9.12,0.62,0.25,1.03,0.74,0.12,0.0
8.22,0.61,0.58,117.0,5.12,275.0,7.34,0.53,0.12,1.25,0.25,0.47,0.0
8.79,0.72,0.7,132.0,6.14,305.0,6.35,0.64,0.11,0.96,0.81,0.54,0.0
8.12,0.98,0.41,80.12,8.16,294.0,7.41,0.39,0.09,0.76,0.64,0.66,0.0
8.33,0.69,0.91,175.0,10.19,316.0,6.11,0.35,0.15,0.82,0.62,0.36,0.0
7.79,0.72,0.35,70.14,7.45,275.0,7.09,0.57,0.12,0.99,0.46,0.45,0.0
8.12,0.9,1.08,246.0,13.24,372.0,6.74,0.64,0.15,1.92,0.87,0.57,0.0
8.12,0.69,0.55,120.0,9.25,229.0,7.14,0.53,0.11,0.97,0.72,0.61,0.0
8.21,0.84,0.73,142.0,7.61,285.0,4.49,0.49,0.09,1.03,0.32,0.32,0.0
8.26,0.71,0.99,179.0,10.42,314.0,5.64,0.34,0.17,0.79,0.53,0.54,0.0
8.38,0.56,0.62,152.0,7.25,272.0,6.09,0.57,0.12,0.84,0.64,0.35,0.0
8.32,0.38,0.55,109.0,8.32,194.0,5.75,0.32,0.09,0.97,0.41,0.46,0.0
8.19,0.49,1.07,242.0,11.73,397.0,4.97,0.4,0.11,0.47,0.32,0.37,0.0
8.28,0.82,0.68,112.0,6.8,302.0,9.02,0.64,0.16,0.54,0.27,0.47,0.0
7.98,0.61,0.23,40.81,7.25,229.0,7.13,0.61,0.13,10.79,0.54,0.59,0.0
8.23,0.69,0.7,132.0,3.25,305.0,4.17,0.42,0.12,1.17,0.75,0.28,0.0
8.19,0.82,0.52,110.0,6.14,294.0,5.45,0.37,0.18,0.98,0.25,0.22,0.0
7.98,0.71,0.76,143.0,7.11,317.0,6.61,0.22,0.22,0.84,0.76,0.37,0.0
8.26,0.92,0.94,182.0,8.34,345.0,5.34,0.3,0.17,1.25,0.34,0.46,0.0
8.22,0.8,0.55,113.0,6.3,270.0,4.86,0.29,0.1,0.77,0.61,0.34,0.0
8.23,0.74,0.65,120.0,7.43,266.0,5.21,0.28,0.09,0.96,0.42,0.47,0.0
7.89,0.11,0.82,180.0,4.85,450.0,6.49,0.08,0.11,1.11,0.69,0.69,0.0
8.7,0.18,0.12,192.0,4.0,290.0,7.8,0.1,0.18,1.79,0.72,0.78,0.0
8.11,0.79,0.18,185.0,8.07,192.0,6.1,0.07,0.22,1.82,0.11,0.82,0.0
8.35,0.82,0.72,228.0,8.11,129.0,5.49,0.05,0.28,1.0,0.72,0.87,0.0
8.01,0.79,0.65,198.0,8.45,145.0,5.31,0.1,0.4,1.07,0.69,0.92,0.0
8.3,0.77,0.18,208.0,7.89,129.0,5.22,0.18,0.29,1.11,0.77,0.75,0.0
